sweep,value,point_index,n,m,k,q,sigma,B,trials,successes,success_rate,wilson95_low,wilson95_high,mean_coordinate_accuracy,mean_runtime_seconds,theorem_lhs,gamma_corrected,gamma_old,theta,xi,theorem_hypotheses
k,7.0,18,200,1600,7,1021,3.19,8.0,100,96,0.96,0.9016292856411208,0.9843366960084523,0.9997499999999999,0.2854681050032377,24.298596830715226,3.798478041868384,3.8434743116958217,0.3326797385620915,225.31855442234064,1
k,8.0,19,200,1600,8,1021,3.19,8.0,100,60,0.6,0.5020025867910618,0.6905987135675411,0.9969499999999999,0.33515359999844807,9.23845810407772,1.4442019221744218,1.4641806901698369,0.3326797385620915,225.31855442234064,1
k,9.0,20,200,1600,9,1021,3.19,8.0,100,4,0.04,0.01566330399154762,0.0983707143588792,0.97225,0.3756709679949563,3.4576288051290875,0.5405138076373387,0.5490677588136889,0.3326797385620915,225.31855442234064,1
k,10.0,21,200,1600,10,1021,3.19,8.0,100,0,0.0,0.0,0.03699349820698568,0.6728000000000001,0.4200539580034092,1.2780922743723355,0.19979776912665612,0.20335842919025515,0.3326797385620915,225.31855442234064,1
k,11.0,22,200,1600,11,1021,3.19,8.0,100,0,0.0,0.0,0.03699349820698568,0.38295,0.4642651639948599,0.4677149440660592,0.07311553655817957,0.0745647573697602,0.3326797385620915,225.31855442234064,1
m,400.0,0,200,400,8,1021,3.19,8.0,100,0,0.0,0.0,0.03699349820698568,0.8966500000000001,0.09061387100256979,2.30961452601943,0.36105048054360545,0.3660451725424592,0.3326797385620915,225.31855442234064,1
m,600.0,1,200,600,8,1021,3.19,8.0,100,4,0.04,0.01566330399154762,0.0983707143588792,0.96135,0.1303723550029099,3.464421789029145,0.5415757208154082,0.5490677588136889,0.3326797385620915,225.31855442234064,1
m,800.0,2,200,800,8,1021,3.19,8.0,100,12,0.12,0.06999406437019488,0.19812099426711421,0.9831,0.17077223100466654,4.61922905203886,0.7221009610872109,0.7320903450849184,0.3326797385620915,225.31855442234064,1
m,1000.0,3,200,1000,8,1021,3.19,8.0,100,26,0.26,0.18404698464748132,0.3537098944918718,0.9895499999999999,0.21389011700171978,5.774036315048575,0.9026262013590137,0.9151129313561481,0.3326797385620915,225.31855442234064,1
m,1200.0,4,200,1200,8,1021,3.19,8.0,100,38,0.38,0.29097599252478734,0.47790244704488916,0.99405,0.25033484800136646,6.92884357805829,1.0831514416308163,1.0981355176273777,0.3326797385620915,225.31855442234064,1
m,1600.0,5,200,1600,8,1021,3.19,8.0,100,69,0.69,0.5937394428051057,0.7722030278762395,0.9982,0.33224751699599436,9.23845810407772,1.4442019221744218,1.4641806901698369,0.3326797385620915,225.31855442234064,1
m,2000.0,6,200,2000,8,1021,3.19,8.0,100,82,0.82,0.7333264161369926,0.8829977450105364,0.9990000000000001,0.42425321599585003,11.54807263009715,1.8052524027180274,1.8302258627122963,0.3326797385620915,225.31855442234064,1
m,2600.0,7,200,2600,8,1021,3.19,8.0,100,90,0.9,0.8256343384950865,0.9447708629393249,0.99945,0.5292846990015824,15.012494419126295,2.3468281235334354,2.379293621525985,0.3326797385620915,225.31855442234064,1
m,3200.0,8,200,3200,8,1021,3.19,8.0,100,98,0.98,0.929988209271456,0.9944980324498376,0.99985,0.6521100649994332,18.47691620815544,2.8884038443488436,2.9283613803396737,0.3326797385620915,225.31855442234064,1
n,75.0,9,75,1600,8,1021,3.19,8.0,100,98,0.98,0.929988209271456,0.9944980324498376,0.9997333333333333,0.32393875999376176,24.635888277540587,4.548639509620884,4.611564376332506,0.3326797385620915,225.31855442234064,1
n,100.0,10,100,1600,8,1021,3.19,8.0,100,99,0.99,0.9455138038212946,0.9982325679358593,0.9998999999999999,0.3255108339956496,18.47691620815544,3.2394145972877673,3.2842279379200314,0.3326797385620915,225.31855442234064,1
n,125.0,11,125,1600,8,1021,3.19,8.0,100,92,0.92,0.8500189229905127,0.9589065385156194,0.99936,0.3277311920106877,14.781532966524352,2.4939627897758663,2.528463715997533,0.3326797385620915,225.31855442234064,1
n,150.0,12,150,1600,8,1021,3.19,8.0,100,85,0.85,0.7671644040916763,0.9069401471634337,0.9986666666666666,0.32796704600448723,12.317944138770294,2.016278432310082,2.0441711794355197,0.3326797385620915,225.31855442234064,1
n,200.0,13,200,1600,8,1021,3.19,8.0,100,58,0.58,0.4820648670304296,0.6720161732564526,0.9976,0.33115721600246617,9.23845810407772,1.4442019221744218,1.4641806901698369,0.3326797385620915,225.31855442234064,1
n,250.0,14,250,1600,8,1021,3.19,8.0,100,31,0.31,0.22779697212376038,0.40626055719489407,0.99508,0.33465222200145944,7.390766483262176,1.1164176365861893,1.1318619097206293,0.3326797385620915,225.31855442234064,1
n,300.0,15,300,1600,8,1021,3.19,8.0,100,17,0.17,0.10893566114059931,0.25548004767601123,0.9922666666666666,0.33830858499975874,6.158972069385147,0.9054123266399897,0.9179375992742306,0.3326797385620915,225.31855442234064,1
n,400.0,16,400,1600,8,1021,3.19,8.0,100,3,0.03,0.010254524024038925,0.0845193642905276,0.98155,0.34378659000271,4.61922905203886,0.6515062049441431,0.6605189967956834,0.3326797385620915,225.31855442234064,1
n,500.0,17,500,1600,8,1021,3.19,8.0,100,0,0.0,0.0,0.03699349820698568,0.9714,0.3476797149993945,3.695383241631088,0.5053017748725831,0.5122920071751762,0.3326797385620915,225.31855442234064,1
q,251.0,23,200,1600,8,251,3.19,8.0,100,0,0.0,0.0,0.03699349820698568,0.87355,0.2698175160039682,2.1766867541643764,0.3402705471975099,0.35995039493891196,0.33066666666666666,54.637568227235555,1
q,383.0,24,200,1600,8,383,3.19,8.0,100,5,0.05,0.02154367915436796,0.11175046923191913,0.9634,0.2828222890046891,3.3867326747354927,0.5294309703677769,0.5492470169784991,0.33158813263525305,83.89716586068214,1
q,503.0,25,200,1600,8,503,3.19,8.0,100,9,0.09,0.04807254000256516,0.1622621285271631,0.9812000000000001,0.29976313799619675,4.487169791764847,0.7014567978101722,0.7213348551963056,0.33200531208499334,110.49680007290631,1
q,761.0,26,200,1600,8,761,3.19,8.0,100,43,0.43,0.33733298524110106,0.5278461045078768,0.99385,0.31605799999320877,6.853532208732896,1.0713783921548097,1.0913237073645896,0.33245614035087717,167.68601362918827,1
q,1021.0,27,200,1600,8,1021,3.19,8.0,100,66,0.66,0.5627772885472462,0.7453847920265184,0.9976,0.3306097370036878,9.23845810407772,1.4442019221744218,1.4641806901698369,0.3326797385620915,225.31855442234064,1
q,1429.0,28,200,1600,8,1429,3.19,8.0,100,81,0.81,0.7222115462093562,0.8748524849023126,0.9987999999999999,0.34899705900461414,12.981113979238101,2.0292725852711415,2.0492793401103793,0.33286647992530344,315.7573107439028,1
q,2039.0,29,200,1600,8,2039,3.19,8.0,100,97,0.97,0.9154806357094724,0.9897454759759611,0.99985,0.3739924940012861,18.576884957928172,2.9040314587139973,2.924059184384229,0.33300621524370294,450.97211798937565,1
q,3061.0,30,200,1600,8,3061,3.19,8.0,100,100,1.0,0.9630065017930143,1.0,1.0,0.42809966700500807,27.952214455217312,4.36962980082557,4.389673939872547,0.33311546840958606,677.5123360301515,1
sigma,1.0,31,200,1600,8,1021,1.0,8.0,100,100,1.0,0.9630065017930143,1.0,1.0,0.33044610599405133,29.47068135200793,4.607004131736406,4.67073640164178,0.3326797385620915,867.2352525510362,1
sigma,1.5,32,200,1600,8,1021,1.5,8.0,100,96,0.96,0.9016292856411208,0.9843366960084523,0.9998,0.3329727719922084,19.64712090133862,3.071336087824271,3.1138242677611867,0.3326797385620915,506.66260841439527,1
sigma,2.0,33,200,1600,8,1021,2.0,8.0,100,84,0.84,0.7557973061072976,0.8990471151119521,0.9991,0.33139566699857825,14.735340676003965,2.303502065868203,2.33536820082089,0.3326797385620915,361.32116916391664,1
sigma,2.5,34,200,1600,8,1021,2.5,8.0,100,72,0.72,0.6251197129007884,0.7986031478881379,0.99835,0.3309420759999193,11.788272540803172,1.8428016526945625,1.8682945606567118,0.3326797385620915,287.8138780268375,1
sigma,3.19,35,200,1600,8,1021,3.19,8.0,100,59,0.59,0.4920143005341078,0.6813268697886348,0.9974,0.33234488099929876,9.23845810407772,1.4442019221744218,1.4641806901698369,0.3326797385620915,225.31855442234064,1
sigma,4.0,36,200,1600,8,1021,4.0,8.0,100,53,0.53,0.4328885697009936,0.6248918204065872,0.9955499999999999,0.3303444799920544,7.367670338001982,1.1517510329341014,1.167684100410445,0.3326797385620915,179.4890059022563,1
sigma,5.0,37,200,1600,8,1021,5.0,8.0,100,32,0.32,0.23669147324999093,0.41662618610452384,0.9919,0.33168578100390733,5.894136270401586,0.9214008263472813,0.9341472803283559,0.3326797385620915,143.39120471829304,1
sigma,6.0,38,200,1600,8,1021,6.0,8.0,100,18,0.18,0.1170022549894635,0.2666735838630073,0.9872,0.3323006529919803,4.911780225334655,0.7678340219560678,0.7784560669402967,0.3326797385620915,119.32600393191085,1
sigma,8.0,39,200,1600,8,1021,8.0,8.0,100,5,0.05,0.02154367915436796,0.11175046923191913,0.9717999999999999,0.3337796059984248,3.683835169000991,0.5758755164670507,0.5838420502052225,0.3326797385620915,89.24450294893313,1
sigma,10.0,40,200,1600,8,1021,10.0,8.0,100,3,0.03,0.010254524024038925,0.0845193642905276,0.9423,0.33162851000088267,2.947068135200793,0.46070041317364063,0.46707364016417796,0.3326797385620915,71.1956023591465,1
sigma,12.0,41,200,1600,8,1021,12.0,8.0,100,0,0.0,0.0,0.03699349820698568,0.90845,0.33266016200068405,2.4558901126673276,0.3839170109780339,0.38922803347014834,0.3326797385620915,59.163001965955424,1
